month,label,0
1,0,1348
1,1,2877
1,2,557
1,3,1034
1,4,23
1,5,3
1,7,348
1,test_df,2685
2,0,1273
2,1,2671
2,2,681
2,3,834
2,4,10
2,5,3
2,7,405
2,test_df,2549
3,0,1425
3,1,3094
3,2,824
3,3,841
3,4,43
3,5,1
3,7,388
3,test_df,2862
4,0,1623
4,1,3454
4,2,671
4,3,781
4,4,33
4,5,13
4,7,401
4,test_df,2972
5,0,1255
5,1,2799
5,2,782
5,3,497
5,4,33
5,5,18
5,7,433
5,test_df,2423
6,0,1349
6,1,3096
6,2,727
6,3,485
6,4,60
6,5,20
6,7,448
6,test_df,2716
7,0,1912
7,1,3668
7,2,777
7,3,685
7,4,26
7,5,26
7,7,455
7,test_df,3180
8,0,1793
8,1,3477
8,2,883
8,3,1433
8,4,39
8,5,16
8,7,485
8,test_df,3472
9,0,1793
9,1,3487
9,2,920
9,3,1243
9,4,23
9,5,10
9,6,15
9,7,497
9,test_df,3434
10,0,1790
10,1,3279
10,2,848
10,3,1166
10,4,26
10,5,17
10,6,137
10,7,469
10,test_df,3285
11,0,1242
11,1,2676
11,2,449
11,3,1013
11,4,20
11,5,3
11,7,335
11,test_df,2487
12,0,1192
12,1,2617
12,2,448
12,3,715
12,4,21
12,5,11
12,7,378
12,test_df,2300
